addr,input_hex,input_value,output_hex,output_value
0,0000,0.000000,0000,0.000000
1,0020,0.015625,0800,0.015625
2,0040,0.015625,0800,0.015625
3,0060,0.031250,0810,0.015869
4,0080,0.015625,0800,0.015625
5,00A0,0.023438,0800,0.015625
6,00C0,0.031250,0810,0.015869
7,00E0,0.046875,0A24,0.023987
8,0100,0.015625,0800,0.015625
9,0120,0.019531,0800,0.015625
10,0140,0.023438,0800,0.015625
11,0160,0.027344,0800,0.015625
12,0180,0.031250,0810,0.015869
13,01A0,0.039062,0919,0.019913
14,01C0,0.046875,0A24,0.023987
15,01E0,0.054688,0B31,0.028091
16,0200,0.015625,0800,0.015625
17,0220,0.017578,0800,0.015625
18,0240,0.019531,0800,0.015625
19,0260,0.021484,0800,0.015625
20,0280,0.023438,0800,0.015625
21,02A0,0.025391,0800,0.015625
22,02C0,0.027344,0800,0.015625
23,02E0,0.029297,0800,0.015625
24,0300,0.031250,0810,0.015869
25,0320,0.035156,0894,0.017883
26,0340,0.039062,0919,0.019913
27,0360,0.042969,099E,0.021942
28,0380,0.046875,0A24,0.023987
29,03A0,0.050781,0AAA,0.026031
30,03C0,0.054688,0B31,0.028091
31,03E0,0.058594,0BB8,0.030151
32,0400,0.015625,0800,0.015625
33,0420,0.016602,0800,0.015625
34,0440,0.017578,0800,0.015625
35,0460,0.018555,0800,0.015625
36,0480,0.019531,0800,0.015625
37,04A0,0.020508,0800,0.015625
38,04C0,0.021484,0800,0.015625
39,04E0,0.022461,0800,0.015625
40,0500,0.023438,0800,0.015625
41,0520,0.024414,0800,0.015625
42,0540,0.025391,0800,0.015625
43,0560,0.026367,0800,0.015625
44,0580,0.027344,0800,0.015625
45,05A0,0.028320,0800,0.015625
46,05C0,0.029297,0800,0.015625
47,05E0,0.030273,0800,0.015625
48,0600,0.031250,0810,0.015869
49,0620,0.033203,0852,0.016876
50,0640,0.035156,0894,0.017883
51,0660,0.037109,08D7,0.018906
52,0680,0.039062,0919,0.019913
53,06A0,0.041016,095C,0.020935
54,06C0,0.042969,099E,0.021942
55,06E0,0.044922,09E1,0.022964
56,0700,0.046875,0A24,0.023987
57,0720,0.048828,0A67,0.025009
58,0740,0.050781,0AAA,0.026031
59,0760,0.052734,0AEE,0.027069
60,0780,0.054688,0B31,0.028091
61,07A0,0.056641,0B75,0.029129
62,07C0,0.058594,0BB8,0.030151
63,07E0,0.060547,0BFC,0.031189
64,0800,0.015625,0800,0.015625
65,0820,0.016113,0800,0.015625
66,0840,0.016602,0800,0.015625
67,0860,0.017090,0800,0.015625
68,0880,0.017578,0800,0.015625
69,08A0,0.018066,0800,0.015625
70,08C0,0.018555,0800,0.015625
71,08E0,0.019043,0800,0.015625
72,0900,0.019531,0800,0.015625
73,0920,0.020020,0800,0.015625
74,0940,0.020508,0800,0.015625
75,0960,0.020996,0800,0.015625
76,0980,0.021484,0800,0.015625
77,09A0,0.021973,0800,0.015625
78,09C0,0.022461,0800,0.015625
79,09E0,0.022949,0800,0.015625
80,0A00,0.023438,0800,0.015625
81,0A20,0.023926,0800,0.015625
82,0A40,0.024414,0800,0.015625
83,0A60,0.024902,0800,0.015625
84,0A80,0.025391,0800,0.015625
85,0AA0,0.025879,0800,0.015625
86,0AC0,0.026367,0800,0.015625
87,0AE0,0.026855,0800,0.015625
88,0B00,0.027344,0800,0.015625
89,0B20,0.027832,0800,0.015625
90,0B40,0.028320,0800,0.015625
91,0B60,0.028809,0800,0.015625
92,0B80,0.029297,0800,0.015625
93,0BA0,0.029785,0800,0.015625
94,0BC0,0.030273,0800,0.015625
95,0BE0,0.030762,0800,0.015625
96,0C00,0.031250,0810,0.015869
97,0C20,0.032227,0831,0.016373
98,0C40,0.033203,0852,0.016876
99,0C60,0.034180,0873,0.017380
100,0C80,0.035156,0894,0.017883
101,0CA0,0.036133,08B5,0.018387
102,0CC0,0.037109,08D7,0.018906
103,0CE0,0.038086,08F8,0.019409
104,0D00,0.039062,0919,0.019913
105,0D20,0.040039,093A,0.020416
106,0D40,0.041016,095C,0.020935
107,0D60,0.041992,097D,0.021439
108,0D80,0.042969,099E,0.021942
109,0DA0,0.043945,09C0,0.022461
110,0DC0,0.044922,09E1,0.022964
111,0DE0,0.045898,0A03,0.023483
112,0E00,0.046875,0A24,0.023987
113,0E20,0.047852,0A46,0.024506
114,0E40,0.048828,0A67,0.025009
115,0E60,0.049805,0A89,0.025528
116,0E80,0.050781,0AAA,0.026031
117,0EA0,0.051758,0ACC,0.026550
118,0EC0,0.052734,0AEE,0.027069
119,0EE0,0.053711,0B0F,0.027573
120,0F00,0.054688,0B31,0.028091
121,0F20,0.055664,0B53,0.028610
122,0F40,0.056641,0B75,0.029129
123,0F60,0.057617,0B96,0.029633
124,0F80,0.058594,0BB8,0.030151
125,0FA0,0.059570,0BDA,0.030670
126,0FC0,0.060547,0BFC,0.031189
127,0FE0,0.061523,0C0F,0.031708
128,1000,0.062500,0C20,0.032227
129,1020,0.063477,0C31,0.032745
130,1040,0.064453,0C42,0.033264
131,1060,0.065430,0C53,0.033783
132,1080,0.066406,0C64,0.034302
133,10A0,0.067383,0C75,0.034821
134,10C0,0.068359,0C86,0.035339
135,10E0,0.069336,0C97,0.035858
136,1100,0.070312,0CA8,0.036377
137,1120,0.071289,0CBA,0.036926
138,1140,0.072266,0CCB,0.037445
139,1160,0.073242,0CDC,0.037964
140,1180,0.074219,0CED,0.038483
141,11A0,0.075195,0CFE,0.039001
142,11C0,0.076172,0D10,0.039551
143,11E0,0.077148,0D21,0.040070
144,1200,0.078125,0D32,0.040588
145,1220,0.079102,0D43,0.041107
146,1240,0.080078,0D55,0.041656
147,1260,0.081055,0D66,0.042175
148,1280,0.082031,0D77,0.042694
149,12A0,0.083008,0D88,0.043213
150,12C0,0.083984,0D9A,0.043762
151,12E0,0.084961,0DAB,0.044281
152,1300,0.085938,0DBC,0.044800
153,1320,0.086914,0DCE,0.045349
154,1340,0.087891,0DDF,0.045868
155,1360,0.088867,0DF1,0.046417
156,1380,0.089844,0E02,0.046936
157,13A0,0.090820,0E14,0.047485
158,13C0,0.091797,0E25,0.048004
159,13E0,0.092773,0E36,0.048523
160,1400,0.093750,0E48,0.049072
161,1420,0.094727,0E59,0.049591
162,1440,0.095703,0E6B,0.050140
163,1460,0.096680,0E7D,0.050690
164,1480,0.097656,0E8E,0.051208
165,14A0,0.098633,0EA0,0.051758
166,14C0,0.099609,0EB1,0.052277
167,14E0,0.100586,0EC3,0.052826
168,1500,0.101562,0ED4,0.053345
169,1520,0.102539,0EE6,0.053894
170,1540,0.103516,0EF8,0.054443
171,1560,0.104492,0F09,0.054962
172,1580,0.105469,0F1B,0.055511
173,15A0,0.106445,0F2D,0.056061
174,15C0,0.107422,0F3E,0.056580
175,15E0,0.108398,0F50,0.057129
176,1600,0.109375,0F62,0.057678
177,1620,0.110352,0F74,0.058228
178,1640,0.111328,0F85,0.058746
179,1660,0.112305,0F97,0.059296
180,1680,0.113281,0FA9,0.059845
181,16A0,0.114258,0FBB,0.060394
182,16C0,0.115234,0FCD,0.060944
183,16E0,0.116211,0FDF,0.061493
184,1700,0.117188,0FF0,0.062012
185,1720,0.118164,1002,0.062561
186,1740,0.119141,1014,0.063110
187,1760,0.120117,1026,0.063660
188,1780,0.121094,1038,0.064209
189,17A0,0.122070,104A,0.064758
190,17C0,0.123047,105C,0.065308
191,17E0,0.124023,106E,0.065857
192,1800,0.125000,1080,0.066406
193,1820,0.126953,10A4,0.067505
194,1840,0.128906,10C8,0.068604
195,1860,0.130859,10EC,0.069702
196,1880,0.132812,1110,0.070801
197,18A0,0.134766,1135,0.071930
198,18C0,0.136719,1159,0.073029
199,18E0,0.138672,117D,0.074127
200,1900,0.140625,11A2,0.075256
201,1920,0.142578,11C6,0.076355
202,1940,0.144531,11EB,0.077484
203,1960,0.146484,120F,0.078583
204,1980,0.148438,1234,0.079712
205,19A0,0.150391,1259,0.080841
206,19C0,0.152344,127E,0.081970
207,19E0,0.154297,12A3,0.083099
208,1A00,0.156250,12C8,0.084229
209,1A20,0.158203,12ED,0.085358
210,1A40,0.160156,1312,0.086487
211,1A60,0.162109,1337,0.087616
212,1A80,0.164062,135C,0.088745
213,1AA0,0.166016,1381,0.089874
214,1AC0,0.167969,13A7,0.091034
215,1AE0,0.169922,13CC,0.092163
216,1B00,0.171875,13F1,0.093292
217,1B20,0.173828,1417,0.094452
218,1B40,0.175781,143C,0.095581
219,1B60,0.177734,1462,0.096741
220,1B80,0.179688,1488,0.097900
221,1BA0,0.181641,14AE,0.099060
222,1BC0,0.183594,14D3,0.100189
223,1BE0,0.185547,14F9,0.101349
224,1C00,0.187500,151F,0.102509
225,1C20,0.189453,1545,0.103668
226,1C40,0.191406,156B,0.104828
227,1C60,0.193359,1591,0.105988
228,1C80,0.195312,15B8,0.107178
229,1CA0,0.197266,15DE,0.108337
230,1CC0,0.199219,1604,0.109497
231,1CE0,0.201172,162A,0.110657
232,1D00,0.203125,1651,0.111847
233,1D20,0.205078,1677,0.113007
234,1D40,0.207031,169E,0.114197
235,1D60,0.208984,16C4,0.115356
236,1D80,0.210938,16EB,0.116547
237,1DA0,0.212891,1712,0.117737
238,1DC0,0.214844,1739,0.118927
239,1DE0,0.216797,1760,0.120117
240,1E00,0.218750,1786,0.121277
241,1E20,0.220703,17AD,0.122467
242,1E40,0.222656,17D4,0.123657
243,1E60,0.224609,17FC,0.124878
244,1E80,0.226562,1811,0.126038
245,1EA0,0.228516,1825,0.127258
246,1EC0,0.230469,1839,0.128479
247,1EE0,0.232422,184C,0.129639
248,1F00,0.234375,1860,0.130859
249,1F20,0.236328,1874,0.132080
250,1F40,0.238281,1887,0.133240
251,1F60,0.240234,189B,0.134460
252,1F80,0.242188,18AF,0.135681
253,1FA0,0.244141,18C3,0.136902
254,1FC0,0.246094,18D7,0.138123
255,1FE0,0.248047,18EB,0.139343
256,2000,0.250000,18FF,0.140564
257,2020,0.251953,1913,0.141785
258,2040,0.253906,1927,0.143005
259,2060,0.255859,193B,0.144226
260,2080,0.257812,194F,0.145447
261,20A0,0.259766,1963,0.146667
262,20C0,0.261719,1977,0.147888
